"ID","date","elevation","siteID","aspect","sp","plantID","fire","root_depth_cm","no_root_scan","total_root_wet_mass_g","total_root_dry_mass_g","total_root_length_mm","total_root_volume_mm3","RD","BI","SRL","RTD","RDMC","no_tuber_scan","total_tuber_wet_mass_g","total_tuber_dry_mass_g","reproductive_height_cm","vegetative_height_cm","no_leaf","total_leaf_wet_mass_g","total_leaf_dry_mass_g","leaf_thick_1_mm","leaf_thick_2_mm","leaf_thick_3_mm","total_leaf_area_cm2","SLA","LT","LDMC","belowground_biomass_g","aboveground_biomass_g","ABG_BGB"
"FEP9413","12/08/2023",2600,4,"W","TT",4,0,21.2,5,0.024,0.01014,949.364572,64.238945,0.274748,0.412908,93.6256974358974,0.157848171385754,422.5,NA,NA,NA,17.2,14.6,5,0.1739,0.05042,0.179,0.177,0.188,10.053,199.385164617215,0.181333333333333,289.936745255894,25.92,2.25,0.086805556
"FES3675","12/09/2023",2400,3,"W","HF",5,1,8,5,0.0656,0.01492,983.009831,85.287418,0.298348,0.42319,65.8853774128686,0.174937878879157,227.439024390244,NA,NA,NA,41.2,14.4,5,0.9684,0.22844,0.379,0.454,0.385,30.487,133.457362983716,0.406,235.894258570838,5.13,3.97,0.773879142
"FET3274","12/08/2023",2800,5,"NW","TT",5,1,18,5,0.0191,0.1004,1137.416052,66.006879,0.252849,0.390358,11.3288451394422,1.52105358594519,5256.5445026178,NA,NA,NA,NA,12,5,0.1717,0.05594,0.136,0.121,0.177,12.585,224.973185555953,0.144666666666667,325.800815375655,19.21,3.32,0.172826653
"FEU2975","12/09/2023",2400,3,"W","HPA",3,1,8,3,0.0293,0.01072,347.932337,32.740988,0.30989,0.22993,32.4563747201493,0.327418341804468,365.870307167236,5,0.5238,0.09544,33.5,6.9,1,0.4367,0.08267,0.762,0.755,0.864,9.015,109.048022257167,0.793666666666667,189.306159835127,1.45,0.8,0.551724138
"FEV1588","12/08/2023",2600,4,"W","HF",2,0,20,5,0.0223,0.00913,768.040441,62.105082,0.294943,0.386698,84.1227208105148,0.147008903393767,409.417040358744,NA,NA,NA,17.7,7.5,5,0.5792,0.14626,0.353,0.339,0.334,18.153,124.114590455353,0.342,252.520718232044,7.28,1.33,0.182692308
"FEY3832","12/08/2023",2600,4,"W","EC",1,0,11,4,0.0298,0.01063,932.442329,60.220092,0.26147,0.33675,87.7179989651928,0.176519159087303,356.711409395973,NA,NA,NA,19.4,7.5,4,0.1059,0.03243,0.17,0.164,0.166,6.192,190.934320074006,0.166666666666667,306.232294617564,3.49,0.5,0.143266476
"FEZ5712","12/08/2023",2600,4,"W","HF",4,1,19.6,5,0.0153,0.00378,277.937234,21.533563,0.29742,0.237464,73.5283687830688,0.175539923420941,247.058823529412,NA,NA,NA,24,9.7,4,0.496,0.12884,0.379,0.329,0.309,13.364,103.725551071096,0.339,259.758064516129,6.15,1.03,0.167479675
"FFC7215","12/08/2023",2800,5,"NW","TT",3,1,19.2,5,0.0282,0.01083,900.798092,81.179114,0.306958,0.424068,83.1761857802401,0.133408699188316,384.042553191489,NA,NA,NA,NA,15.2,5,0.1293,0.0405,0.085,0.105,0.097,9.295,229.506172839506,0.0956666666666667,313.22505800464,24.87,11.39,0.457981504
"FFD9944","12/08/2023",2600,4,"W","HF",5,0,15,4,0.0428,0.01071,1548.360432,90.526024,0.24857,0.501821,144.571468907563,0.118308520873511,250.233644859813,NA,NA,NA,22,6.8,5,0.3042,0.06996,0.29,0.332,0.311,11.461,163.822184105203,0.311,229.980276134122,8.07,0.64,0.079306072
"FFG0527","12/13/2023",2200,2,"W","HF",5,0,12.5,5,0.0334,0.01338,1092.792162,54.461143,0.235171,0.360544,81.6735547085202,0.245679750055925,400.59880239521,NA,NA,NA,37,20,5,0.4812,0.12929,0.305,0.35,0.342,14.509,112.220589372728,0.332333333333333,268.682460515378,15.63,3.56,0.227767115
